element_key,input_text,target_text_xpath,target_text_css,class
cls_div_ot-tab-desc,"<div class=""ot-tab-desc ot-sdk-eight ot-sdk-columns""><div class=""ot-desc-cntr"" id=""ot-tab-desc"" tabindex=""0"" role=""tabpanel"" aria-labelledby=""ot-pvcy-hdr""><h4 id=""ot-pvcy-hdr"">Your Privacy</h4><p id=""ot-pc-desc"" class=""ot-grp-desc"">Cookies and other similar technologies are an indispensable part of how our Platform works. The main goal of cookies is to make your browsing experience easier and more efficient and to improve our services and the Platform itself. Likewise, we use cookies to show you targeted ad","//div[contains(@class, 'ot-tab-desc')]",div.ot-tab-desc,ot-tab-desc ot-sdk-eight ot-sdk-columns
id_div_ot-tab-desc,"<div class=""ot-desc-cntr"" id=""ot-tab-desc"" tabindex=""0"" role=""tabpanel"" aria-labelledby=""ot-pvcy-hdr""><h4 id=""ot-pvcy-hdr"">Your Privacy</h4><p id=""ot-pc-desc"" class=""ot-grp-desc"">Cookies and other similar technologies are an indispensable part of how our Platform works. The main goal of cookies is to make your browsing experience easier and more efficient and to improve our services and the Platform itself. Likewise, we use cookies to show you targeted advertising when you visit third-party websites and app",//div[@id='ot-tab-desc'],div#ot-tab-desc,ot-desc-cntr
cls_a_privacy-notice-link,"<a aria-label=""More information about your privacy, opens in a new tab"" class=""privacy-notice-link"" href=""https://static.zara.net/static/pdfs/ZARA/cookies-policy/cookies_policy_en_US-20241120.pdf"" rel=""noopener"" target=""_blank"">Cookies Policy</a>","//a[contains(@class, 'privacy-notice-link')]",a.privacy-notice-link,privacy-notice-link
id_div_ot-desc-id-C0001,"<div class=""ot-desc-cntr ot-hide ot-always-active-group"" role=""tabpanel"" tabindex=""0"" id=""ot-desc-id-C0001""><div class=""ot-grp-hdr1""><h4 class=""ot-cat-header"">Strictly necessary cookies</h4><div class=""ot-tgl-cntr""><div class=""ot-always-active"">Always Active</div></div></div><p class=""ot-grp-desc ot-category-desc"">These cookies are necessary for the correct functioning of the Platform, and they cannot be deactivated on our systems. Generally speaking, they are configured to respond to actions made by you wh",//div[@id='ot-desc-id-C0001'],div#ot-desc-id-C0001,ot-desc-cntr ot-hide ot-always-active-group
cls_div_ot-grp-hdr1,"<div class=""ot-grp-hdr1""><h4 class=""ot-cat-header"">Strictly necessary cookies</h4><div class=""ot-tgl-cntr""><div class=""ot-always-active"">Always Active</div></div></div>","//div[contains(@class, 'ot-grp-hdr1')]",div.ot-grp-hdr1,ot-grp-hdr1
cls_div_ot-tgl-cntr,"<div class=""ot-tgl-cntr""><div class=""ot-always-active"">Always Active</div></div>","//div[contains(@class, 'ot-tgl-cntr')]",div.ot-tgl-cntr,ot-tgl-cntr
cls_div_ot-always-active,"<div class=""ot-always-active"">Always Active</div>","//div[contains(@class, 'ot-always-active')]",div.ot-always-active,ot-always-active
cls_div_ot-hlst-cntr,"<div class=""ot-hlst-cntr""><button class=""ot-link-btn category-host-list-handler"" aria-label=""Strictly necessary cookies - Cookie Details button opens Cookie List menu"" data-parent-id=""C0001"">Cookies Details‎</button></div>","//div[contains(@class, 'ot-hlst-cntr')]",div.ot-hlst-cntr,ot-hlst-cntr
cls_button_ot-link-btn,"<button aria-label=""Strictly necessary cookies - Cookie Details button opens Cookie List menu"" class=""ot-link-btn category-host-list-handler"" data-parent-id=""C0001"">Cookies Details‎</button>","//button[contains(@class, 'ot-link-btn')]",button.ot-link-btn,ot-link-btn category-host-list-handler
id_div_ot-desc-id-C0002,"<div class=""ot-desc-cntr ot-hide"" role=""tabpanel"" tabindex=""0"" id=""ot-desc-id-C0002""><div class=""ot-grp-hdr1""><h4 class=""ot-cat-header"">Analysis cookies</h4><div class=""ot-tgl""><input type=""checkbox"" name=""ot-group-id-C0002"" id=""ot-group-id-C0002"" role=""switch"" class=""category-switch-handler"" data-optanongroupid=""C0002"" aria-labelledby=""ot-header-id-C0002""> <label class=""ot-switch"" for=""ot-group-id-C0002""><span class=""ot-switch-nob""></span> <span class=""ot-label-txt"">Analysis cookies</span></label> <span cl",//div[@id='ot-desc-id-C0002'],div#ot-desc-id-C0002,ot-desc-cntr ot-hide
cls_div_ot-tgl,"<div class=""ot-tgl""><input type=""checkbox"" name=""ot-group-id-C0002"" id=""ot-group-id-C0002"" role=""switch"" class=""category-switch-handler"" data-optanongroupid=""C0002"" aria-labelledby=""ot-header-id-C0002""> <label class=""ot-switch"" for=""ot-group-id-C0002""><span class=""ot-switch-nob""></span> <span class=""ot-label-txt"">Analysis cookies</span></label> <span class=""ot-label-status"">Inactive</span></div>","//div[contains(@class, 'ot-tgl')]",div.ot-tgl,ot-tgl
id_input_ot-group-id-C0002,"<input type=""checkbox"" name=""ot-group-id-C0002"" id=""ot-group-id-C0002"" role=""switch"" class=""category-switch-handler"" data-optanongroupid=""C0002"" aria-labelledby=""ot-header-id-C0002"">",//input[@id='ot-group-id-C0002'],input#ot-group-id-C0002,category-switch-handler
cls_label_ot-switch,"<label class=""ot-switch"" for=""ot-group-id-C0002""><span class=""ot-switch-nob""></span> <span class=""ot-label-txt"">Analysis cookies</span></label>","//label[contains(@class, 'ot-switch')]",label.ot-switch,ot-switch
cls_span_ot-switch-nob,"<span class=""ot-switch-nob""></span>","//span[contains(@class, 'ot-switch-nob')]",span.ot-switch-nob,ot-switch-nob
cls_span_ot-label-txt,"<span class=""ot-label-txt"">Analysis cookies</span>","//span[contains(@class, 'ot-label-txt')]",span.ot-label-txt,ot-label-txt
cls_span_ot-label-status,"<span class=""ot-label-status"">Inactive</span>","//span[contains(@class, 'ot-label-status')]",span.ot-label-status,ot-label-status
id_div_ot-desc-id-C0003,"<div class=""ot-desc-cntr ot-hide"" role=""tabpanel"" tabindex=""0"" id=""ot-desc-id-C0003""><div class=""ot-grp-hdr1""><h4 class=""ot-cat-header"">Functionality or customisation cookies</h4><div class=""ot-tgl""><input type=""checkbox"" name=""ot-group-id-C0003"" id=""ot-group-id-C0003"" role=""switch"" class=""category-switch-handler"" data-optanongroupid=""C0003"" aria-labelledby=""ot-header-id-C0003""> <label class=""ot-switch"" for=""ot-group-id-C0003""><span class=""ot-switch-nob""></span> <span class=""ot-label-txt"">Functionality or c",//div[@id='ot-desc-id-C0003'],div#ot-desc-id-C0003,ot-desc-cntr ot-hide
id_input_ot-group-id-C0003,"<input type=""checkbox"" name=""ot-group-id-C0003"" id=""ot-group-id-C0003"" role=""switch"" class=""category-switch-handler"" data-optanongroupid=""C0003"" aria-labelledby=""ot-header-id-C0003"">",//input[@id='ot-group-id-C0003'],input#ot-group-id-C0003,category-switch-handler
id_div_ot-desc-id-C0004,"<div class=""ot-desc-cntr ot-hide"" role=""tabpanel"" tabindex=""0"" id=""ot-desc-id-C0004""><div class=""ot-grp-hdr1""><h4 class=""ot-cat-header"">Cross-Contextual Behavioral Advertising Cookies</h4><div class=""ot-tgl""><input type=""checkbox"" name=""ot-group-id-C0004"" id=""ot-group-id-C0004"" role=""switch"" class=""category-switch-handler"" data-optanongroupid=""C0004"" aria-labelledby=""ot-header-id-C0004""> <label class=""ot-switch"" for=""ot-group-id-C0004""><span class=""ot-switch-nob""></span> <span class=""ot-label-txt"">Cross-Con",//div[@id='ot-desc-id-C0004'],div#ot-desc-id-C0004,ot-desc-cntr ot-hide
id_input_ot-group-id-C0004,"<input type=""checkbox"" name=""ot-group-id-C0004"" id=""ot-group-id-C0004"" role=""switch"" class=""category-switch-handler"" data-optanongroupid=""C0004"" aria-labelledby=""ot-header-id-C0004"">",//input[@id='ot-group-id-C0004'],input#ot-group-id-C0004,category-switch-handler
cls_div_ot-lst-cntr,"<div class=""ot-lst-cntr ot-pc-scrollbar""><div id=""ot-pc-hdr""><div id=""ot-lst-title""><button class=""ot-link-btn back-btn-handler"" aria-label=""Back""><svg id=""ot-back-arw"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" x=""0px"" y=""0px"" viewBox=""0 0 444.531 444.531"" xml:space=""preserve""><title>Back Button</title><g><path fill=""#656565"" d=""M213.13,222.409L351.88,83.653c7.05-7.043,10.567-15.657,10.567-25.841c0-10.183-3.518-18.793-10.567-25.835
                  l-21.409-21.416C323.43","//div[contains(@class, 'ot-lst-cntr')]",div.ot-lst-cntr,ot-lst-cntr ot-pc-scrollbar
cls_div_ot-lst-subhdr,"<div class=""ot-lst-subhdr""><div id=""ot-search-cntr""><p role=""status"" class=""ot-scrn-rdr""></p><input id=""vendor-search-handler"" type=""text"" name=""vendor-search-handler"" placeholder=""Search…"" aria-label=""Cookie list search""> <svg xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" x=""0px"" y=""0px"" viewBox=""0 -30 110 110"" aria-hidden=""true""><path fill=""#2e3644"" d=""M55.146,51.887L41.588,37.786c3.486-4.144,5.396-9.358,5.396-14.786c0-12.682-10.318-23-23-23s-23,10.318-23,23
              s","//div[contains(@class, 'ot-lst-subhdr')]",div.ot-lst-subhdr,ot-lst-subhdr
cls_div_ot-sdk-column,"<div class=""ot-sdk-container ot-grps-cntr ot-sdk-column""><div class=""ot-sdk-four ot-sdk-columns ot-tab-list"" aria-label=""Cookie Categories""><h2 id=""ot-pc-title-mobile"">Privacy Preference Center</h2><ul class=""ot-cat-grp"" role=""tablist"" aria-orientation=""vertical""><li class=""ot-abt-tab"" role=""presentation""><!-- About Privacy container --><div class=""ot-active-menu category-menu-switch-handler"" role=""tab"" tabindex=""0"" aria-selected=""true"" aria-controls=""ot-tab-desc""><h3 id=""ot-pvcy-txt"">Your Privacy</h3></div","//div[contains(@class, 'ot-sdk-column')]",div.ot-sdk-column,ot-sdk-column
cls_div_ot-sel-all,"<div class=""ot-sel-all""><div class=""ot-sel-all-hdr""><span class=""ot-consent-hdr"">Consent</span> <span class=""ot-li-hdr"">Leg.Interest</span></div><div class=""ot-sel-all-chkbox""><div class=""ot-chkbox"" id=""ot-selall-hostcntr""><input id=""select-all-hosts-groups-handler"" type=""checkbox""> <label for=""select-all-hosts-groups-handler""><span class=""ot-label-txt"">checkbox label</span></label> <span class=""ot-label-status"">label</span></div><div class=""ot-chkbox"" id=""ot-selall-vencntr""><input id=""select-all-vendor-gro","//div[contains(@class, 'ot-sel-all')]",div.ot-sel-all,ot-sel-all
cls_div_ot-sel-all-hdr,"<div class=""ot-sel-all-hdr""><span class=""ot-consent-hdr"">Consent</span> <span class=""ot-li-hdr"">Leg.Interest</span></div>","//div[contains(@class, 'ot-sel-all-hdr')]",div.ot-sel-all-hdr,ot-sel-all-hdr
cls_span_ot-consent-hdr,"<span class=""ot-consent-hdr"">Consent</span>","//span[contains(@class, 'ot-consent-hdr')]",span.ot-consent-hdr,ot-consent-hdr
cls_span_ot-li-hdr,"<span class=""ot-li-hdr"">Leg.Interest</span>","//span[contains(@class, 'ot-li-hdr')]",span.ot-li-hdr,ot-li-hdr
cls_div_ot-sel-all-chkbox,"<div class=""ot-sel-all-chkbox""><div class=""ot-chkbox"" id=""ot-selall-hostcntr""><input id=""select-all-hosts-groups-handler"" type=""checkbox""> <label for=""select-all-hosts-groups-handler""><span class=""ot-label-txt"">checkbox label</span></label> <span class=""ot-label-status"">label</span></div><div class=""ot-chkbox"" id=""ot-selall-vencntr""><input id=""select-all-vendor-groups-handler"" type=""checkbox""> <label for=""select-all-vendor-groups-handler""><span class=""ot-label-txt"">checkbox label</span></label> <span class=","//div[contains(@class, 'ot-sel-all-chkbox')]",div.ot-sel-all-chkbox,ot-sel-all-chkbox
id_div_ot-selall-hostcntr,"<div class=""ot-chkbox"" id=""ot-selall-hostcntr""><input id=""select-all-hosts-groups-handler"" type=""checkbox""> <label for=""select-all-hosts-groups-handler""><span class=""ot-label-txt"">checkbox label</span></label> <span class=""ot-label-status"">label</span></div>",//div[@id='ot-selall-hostcntr'],div#ot-selall-hostcntr,ot-chkbox
id_div_ot-selall-vencntr,"<div class=""ot-chkbox"" id=""ot-selall-vencntr""><input id=""select-all-vendor-groups-handler"" type=""checkbox""> <label for=""select-all-vendor-groups-handler""><span class=""ot-label-txt"">checkbox label</span></label> <span class=""ot-label-status"">label</span></div>",//div[@id='ot-selall-vencntr'],div#ot-selall-vencntr,ot-chkbox
id_div_ot-selall-licntr,"<div class=""ot-chkbox"" id=""ot-selall-licntr""><input id=""select-all-vendor-leg-handler"" type=""checkbox""> <label for=""select-all-vendor-leg-handler""><span class=""ot-label-txt"">checkbox label</span></label> <span class=""ot-label-status"">label</span></div>",//div[@id='ot-selall-licntr'],div#ot-selall-licntr,ot-chkbox
cls_div_ot-fltr-scrlcnt,"<div class=""ot-fltr-scrlcnt ot-pc-scrollbar""><div class=""ot-fltr-opts"" role=""list""><div class=""ot-fltr-opt"" role=""listitem""><div class=""ot-chkbox""><input id=""chkbox-id"" type=""checkbox"" class=""category-filter-handler""> <label for=""chkbox-id""><span class=""ot-label-txt"">checkbox label</span></label> <span class=""ot-label-status"">label</span></div></div></div><div class=""ot-fltr-btns""><button id=""filter-apply-handler"">Apply</button> <button id=""filter-cancel-handler"">Cancel</button></div></div>","//div[contains(@class, 'ot-fltr-scrlcnt')]",div.ot-fltr-scrlcnt,ot-fltr-scrlcnt ot-pc-scrollbar
cls_div_ot-fltr-opts,"<div class=""ot-fltr-opts"" role=""list""><div class=""ot-fltr-opt"" role=""listitem""><div class=""ot-chkbox""><input id=""chkbox-id"" type=""checkbox"" class=""category-filter-handler""> <label for=""chkbox-id""><span class=""ot-label-txt"">checkbox label</span></label> <span class=""ot-label-status"">label</span></div></div></div>","//div[contains(@class, 'ot-fltr-opts')]",div.ot-fltr-opts,ot-fltr-opts
cls_div_ot-fltr-opt,"<div class=""ot-fltr-opt"" role=""listitem""><div class=""ot-chkbox""><input id=""chkbox-id"" type=""checkbox"" class=""category-filter-handler""> <label for=""chkbox-id""><span class=""ot-label-txt"">checkbox label</span></label> <span class=""ot-label-status"">label</span></div></div>","//div[contains(@class, 'ot-fltr-opt')]",div.ot-fltr-opt,ot-fltr-opt
cls_div_ot-chkbox,"<div class=""ot-chkbox"" id=""ot-selall-hostcntr""><input id=""select-all-hosts-groups-handler"" type=""checkbox""> <label for=""select-all-hosts-groups-handler""><span class=""ot-label-txt"">checkbox label</span></label> <span class=""ot-label-status"">label</span></div>","//div[contains(@class, 'ot-chkbox')]",div.ot-chkbox,ot-chkbox
id_input_chkbox-id,"<input id=""chkbox-id"" type=""checkbox"" class=""category-filter-handler"">",//input[@id='chkbox-id'],input#chkbox-id,category-filter-handler
cls_div_ot-fltr-btns,"<div class=""ot-fltr-btns""><button id=""filter-apply-handler"">Apply</button> <button id=""filter-cancel-handler"">Cancel</button></div>","//div[contains(@class, 'ot-fltr-btns')]",div.ot-fltr-btns,ot-fltr-btns
cls_div_ot-pc-footer,"<div class=""ot-pc-footer ot-pc-scrollbar""><div class=""ot-btn-container""><button class=""save-preference-btn-handler onetrust-close-btn-handler"" ot-button-order=""0"">Confirm My Choices</button><div class=""ot-btn-subcntr""><button class=""ot-pc-refuse-all-handler"" ot-button-order=""1"">Reject optional cookies</button> <button id=""accept-recommended-btn-handler"" ot-button-order=""2"">Allow All</button></div></div><div class=""ot-pc-footer-logo""><a href=""https://www.onetrust.com/products/cookie-consent/"" target=""_blank""","//div[contains(@class, 'ot-pc-footer')]",div.ot-pc-footer,ot-pc-footer ot-pc-scrollbar
cls_div_ot-btn-container,"<div class=""ot-btn-container""><button class=""save-preference-btn-handler onetrust-close-btn-handler"" ot-button-order=""0"">Confirm My Choices</button><div class=""ot-btn-subcntr""><button class=""ot-pc-refuse-all-handler"" ot-button-order=""1"">Reject optional cookies</button> <button id=""accept-recommended-btn-handler"" ot-button-order=""2"">Allow All</button></div></div>","//div[contains(@class, 'ot-btn-container')]",div.ot-btn-container,ot-btn-container
cls_button_save-preference-btn-handler,"<button class=""save-preference-btn-handler onetrust-close-btn-handler"" ot-button-order=""0"">Confirm My Choices</button>","//button[contains(@class, 'save-preference-btn-handler')]",button.save-preference-btn-handler,save-preference-btn-handler onetrust-close-btn-handler
cls_div_ot-btn-subcntr,"<div class=""ot-btn-subcntr""><button class=""ot-pc-refuse-all-handler"" ot-button-order=""1"">Reject optional cookies</button> <button id=""accept-recommended-btn-handler"" ot-button-order=""2"">Allow All</button></div>","//div[contains(@class, 'ot-btn-subcntr')]",div.ot-btn-subcntr,ot-btn-subcntr
cls_button_ot-pc-refuse-all-handler,"<button class=""ot-pc-refuse-all-handler"" ot-button-order=""1"">Reject optional cookies</button>","//button[contains(@class, 'ot-pc-refuse-all-handler')]",button.ot-pc-refuse-all-handler,ot-pc-refuse-all-handler
cls_div_ot-pc-footer-logo,"<div class=""ot-pc-footer-logo""><a href=""https://www.onetrust.com/products/cookie-consent/"" target=""_blank"" rel=""noopener noreferrer"" aria-label=""Powered by OneTrust Opens in a new Tab""><img alt=""Powered by Onetrust"" src=""https://cdn.cookielaw.org/logos/static/powered_by_logo.svg"" title=""Powered by OneTrust Opens in a new Tab""></a></div>","//div[contains(@class, 'ot-pc-footer-logo')]",div.ot-pc-footer-logo,ot-pc-footer-logo
cls_span_ot-scrn-rdr,"<span class=""ot-scrn-rdr"" aria-atomic=""true"" aria-live=""polite""></span>","//span[contains(@class, 'ot-scrn-rdr')]",span.ot-scrn-rdr,ot-scrn-rdr
cls_div_layout-customer-base-content-header,"<div class=""layout-customer-base-content-header layout-customer-base-content-header--no-margin""><div class=""content-header layout-customer-base-content-header__content-header""><div class=""content-header__info""><h1 class=""screen-reader-text""><span>LOG IN / CREATE ACCOUNT</span></h1></div></div></div>","//div[contains(@class, 'layout-customer-base-content-header')]",div.layout-customer-base-content-header,layout-customer-base-content-header layout-customer-base-content-header--no-margin
cls_div_oauth-logon-view__content-block,"<div class=""oauth-logon-view__content-block""><h2 class=""oauth-logon-view__title"" id=""zds-0"">ENJOY THE BEST EXPERIENCE</h2><p class=""oauth-logon-view__description"" id=""zds-1"">Log in to enjoy a personalised experience and access all our services.</p><div class=""oauth-logon-view__buttons-wrapper""><button class=""zds-button oauth-logon-view__button zds-button--primary zds-button--small"" role=""button"" data-qa-id=""oauth-logon-button"">LOG IN</button><button class=""zds-button oauth-logon-view__button zds-button--sec","//div[contains(@class, 'oauth-logon-view__content-block')]",div.oauth-logon-view__content-block,oauth-logon-view__content-block
id_h2_zds-0,"<h2 class=""oauth-logon-view__title"" id=""zds-0"">ENJOY THE BEST EXPERIENCE</h2>",//h2[@id='zds-0'],h2#zds-0,oauth-logon-view__title
cls_div_oauth-logon-view__buttons-wrapper,"<div class=""oauth-logon-view__buttons-wrapper""><button class=""zds-button oauth-logon-view__button zds-button--primary zds-button--small"" role=""button"" data-qa-id=""oauth-logon-button"">LOG IN</button><button class=""zds-button oauth-logon-view__button zds-button--secondary zds-button--small"" role=""button"" data-qa-id=""logon-view-alternate-button"">Register</button></div>","//div[contains(@class, 'oauth-logon-view__buttons-wrapper')]",div.oauth-logon-view__buttons-wrapper,oauth-logon-view__buttons-wrapper
qaid_button_oauth-logon-button,"<button class=""zds-button oauth-logon-view__button zds-button--primary zds-button--small"" role=""button"" data-qa-id=""oauth-logon-button"">LOG IN</button>",//button[@data-qa-id='oauth-logon-button'],button[data-qa-id='oauth-logon-button'],zds-button oauth-logon-view__button zds-button--primary zds-button--small
qaid_button_logon-view-alternate-button,"<button class=""zds-button oauth-logon-view__button zds-button--secondary zds-button--small"" role=""button"" data-qa-id=""logon-view-alternate-button"">Register</button>",//button[@data-qa-id='logon-view-alternate-button'],button[data-qa-id='logon-view-alternate-button'],zds-button oauth-logon-view__button zds-button--secondary zds-button--small
cls_div_oauth-logon-view__background,"<div class=""oauth-logon-view__background""><div class=""media""><div class=""media__wrapper media__wrapper--fill"" style=""padding-bottom:65.63%""><img class=""media-image__image media__wrapper--media"" data-qa-qualifier=""media-image"" alt=""Background image"" src=""https://static.zara.net/assets/public/484e/55f2/8d2d4487a050/bfd7dc1352a2/image-ipadh-07a07abc-2162-41fe-a0cc-2c59ffe69775-default_0/image-ipadh-07a07abc-2162-41fe-a0cc-2c59ffe69775-default_0.jpg?ts=1742320487341&amp;w=862""></div></div></div>","//div[contains(@class, 'oauth-logon-view__background')]",div.oauth-logon-view__background,oauth-logon-view__background
id_div_utilities,"<div class=""layout-footer__section layout-footer__section--sitemap"" id=""utilities""><div class=""mk-spot html-spot"" data-name=""ESpot_Footer_Links""><style>
  .theme--origins .footer-links__wrapper .footer-links__title {
    font-size: var(--font-size-label-m-highlight);
    line-height: var(--line-height-label-m-highlight);
    letter-spacing: var(--letter-spacing-label-m-highlight);
    text-transform: var(--text-transform-label-m-highlight);
    font-stretch: var(--font-stretch-label-m-highlight);
    font-w",//div[@id='utilities'],div#utilities,layout-footer__section layout-footer__section--sitemap
cls_div_footer-links__wrapper,"<div class=""footer-links__wrapper"">
  <div class=""footer-links__section"">
    <h3 class=""footer-links__title"">Help</h3>
    <ul class=""footer-links__list"">
      
        <li>           <a href=""/ie/en/help-center/RegisterAndLogin"" class=""footer-links__link"">My Zara Account</a>         </li>
        <li>           <a href=""/ie/en/help-center/ItemsAvailability"" class=""footer-links__link"">Items and Sizes</a>         </li>
        
          <li>           <a href=""/ie/en/help-center/GiftCard"" class=""footer-li","//div[contains(@class, 'footer-links__wrapper')]",div.footer-links__wrapper,footer-links__wrapper
cls_div_footer-links__section,"<div class=""footer-links__section"">
    <h3 class=""footer-links__title"">Help</h3>
    <ul class=""footer-links__list"">
      
        <li>           <a href=""/ie/en/help-center/RegisterAndLogin"" class=""footer-links__link"">My Zara Account</a>         </li>
        <li>           <a href=""/ie/en/help-center/ItemsAvailability"" class=""footer-links__link"">Items and Sizes</a>         </li>
        
          <li>           <a href=""/ie/en/help-center/GiftCard"" class=""footer-links__link"">Gift Options</a>         </","//div[contains(@class, 'footer-links__section')]",div.footer-links__section,footer-links__section
cls_h3_footer-links__title,"<h3 class=""footer-links__title"">Help</h3>","//h3[contains(@class, 'footer-links__title')]",h3.footer-links__title,footer-links__title
cls_a_footer-links__link,"<a class=""footer-links__link"" href=""https://static.zara.net/static/pdfs/IE/giftcard-conditions/giftcard-conditions-en_IE-20240806.pdf"" id=""footerGiftCardConditions"" target=""_blank"">Gift Card Conditions</a>","//a[contains(@class, 'footer-links__link')]",a.footer-links__link,footer-links__link
id_a_footerGiftCardConditions,"<a href=""https://static.zara.net/static/pdfs/IE/giftcard-conditions/giftcard-conditions-en_IE-20240806.pdf"" target=""_blank"" id=""footerGiftCardConditions"" class=""footer-links__link"">Gift Card Conditions</a>",//a[@id='footerGiftCardConditions'],a#footerGiftCardConditions,footer-links__link
id_button_ot-sdk-btn,"<button id=""ot-sdk-btn"" class=""ot-sdk-show-settings"">Cookies Settings</button>",//button[@id='ot-sdk-btn'],button#ot-sdk-btn,ot-sdk-show-settings
cls_div_layout-footer__section,"<div class=""layout-footer__section layout-footer__section--sitemap"" id=""utilities""><div class=""mk-spot html-spot"" data-name=""ESpot_Footer_Links""><style>
  .theme--origins .footer-links__wrapper .footer-links__title {
    font-size: var(--font-size-label-m-highlight);
    line-height: var(--line-height-label-m-highlight);
    letter-spacing: var(--letter-spacing-label-m-highlight);
    text-transform: var(--text-transform-label-m-highlight);
    font-stretch: var(--font-stretch-label-m-highlight);
    font-w","//div[contains(@class, 'layout-footer__section')]",div.layout-footer__section,layout-footer__section layout-footer__section--bottom-nav
cls_div_layout-footer__section-block,"<div class=""layout-footer__section-block""><div></div></div>","//div[contains(@class, 'layout-footer__section-block')]",div.layout-footer__section-block,layout-footer__section-block
cls_div_layout-footer__section-block-item,"<div class=""layout-footer__section-block-item layout-footer__stores""><ul aria-label=""Available stores""><li class=""layout-footer__item""><button class=""layout-footer__item-action"" data-qa-action=""change-store-current-store"">Ireland</button></li></ul></div>","//div[contains(@class, 'layout-footer__section-block-item')]",div.layout-footer__section-block-item,layout-footer__section-block-item layout-footer__stores
cls_button_layout-footer__item-action,"<button class=""layout-footer__item-action"" data-qa-action=""change-store-current-store"">Ireland</button>","//button[contains(@class, 'layout-footer__item-action')]",button.layout-footer__item-action,layout-footer__item-action
cls_div_layout-footer__languages-wrapper,"<div class=""layout-footer__languages-wrapper""><div class=""layout-footer__section-block-item layout-footer__languages-list""><ul aria-label=""Available languages""><li class=""layout-footer__item""><span class=""layout-footer__item-action"">English</span></li></ul></div><span class=""layout-footer__copyright""><div class=""mk-spot html-spot"" data-name=""ESpot_Copyright""><span class=""zds-label-s"">© All rights reserved</span></div></span></div>","//div[contains(@class, 'layout-footer__languages-wrapper')]",div.layout-footer__languages-wrapper,layout-footer__languages-wrapper
cls_span_layout-footer__item-action,"<button class=""layout-footer__item-action"" data-qa-action=""change-store-current-store"">Ireland</button>","//span[contains(@class, 'layout-footer__item-action')]",span.layout-footer__item-action,layout-footer__item-action
cls_span_layout-footer__copyright,"<span class=""layout-footer__copyright""><div class=""mk-spot html-spot"" data-name=""ESpot_Copyright""><span class=""zds-label-s"">© All rights reserved</span></div></span>","//span[contains(@class, 'layout-footer__copyright')]",span.layout-footer__copyright,layout-footer__copyright
cls_span_zds-label-s,"<span class=""zds-label-s"">© All rights reserved</span>","//span[contains(@class, 'zds-label-s')]",span.zds-label-s,zds-label-s
cls_div_layout-footer__legal,"<div class=""layout-footer__legal""></div>","//div[contains(@class, 'layout-footer__legal')]",div.layout-footer__legal,layout-footer__legal
cls_div_theme-za,"<div class=""theme-za""><main class=""main-layout""><div class=""main-layout__wrapper""><div class=""main-layout__content""><header class=""hlp-header""><a class=""hlp-header__logo-link"" href=""https://www.zara.com/ie/en""><svg viewBox=""0 0 132 55"" xmlns=""http://www.w3.org/2000/svg"" width=""1em"" height=""1em"" class=""hlp-header__logo-img"" role=""img"" aria-label=""Logo Zara, navigate to the homepage.""><path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""m105.673.035 19.557 53.338 6.77.002v.383h-21.548v-.383h6.344l-6.431-17.54H97.","//div[contains(@class, 'theme-za')]",div.theme-za,theme-za
cls_div_main-layout__wrapper,"<div class=""main-layout__wrapper""><div class=""main-layout__content""><header class=""hlp-header""><a class=""hlp-header__logo-link"" href=""https://www.zara.com/ie/en""><svg viewBox=""0 0 132 55"" xmlns=""http://www.w3.org/2000/svg"" width=""1em"" height=""1em"" class=""hlp-header__logo-img"" role=""img"" aria-label=""Logo Zara, navigate to the homepage.""><path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""m105.673.035 19.557 53.338 6.77.002v.383h-21.548v-.383h6.344l-6.431-17.54H97.311v.007l.07.204c.521 1.548.78 3.17.764 4.803v6.","//div[contains(@class, 'main-layout__wrapper')]",div.main-layout__wrapper,main-layout__wrapper
cls_div_main-layout__content,"<div class=""main-layout__content""><header class=""hlp-header""><a class=""hlp-header__logo-link"" href=""https://www.zara.com/ie/en""><svg viewBox=""0 0 132 55"" xmlns=""http://www.w3.org/2000/svg"" width=""1em"" height=""1em"" class=""hlp-header__logo-img"" role=""img"" aria-label=""Logo Zara, navigate to the homepage.""><path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""m105.673.035 19.557 53.338 6.77.002v.383h-21.548v-.383h6.344l-6.431-17.54H97.311v.007l.07.204c.521 1.548.78 3.17.764 4.803v6.575c0 3.382 1.494 6.81 4.347 6.81 ","//div[contains(@class, 'main-layout__content')]",div.main-layout__content,main-layout__content
